Text,company,startdate,salary,exp,about,skills_required,Page_URL
Junior Golf Writer,"
                        Sportskeeda                    ","
                                Starts Immediately
                            ","
                                    ₹ 2,40,000                                ",0 years,"
    Key responsibilities: 

1. Writing 2-3 articles a day (features, opinionated articles, in-depth analysis articles, news, fan reactions etc.) (usually 70 - 100 articles per month)
2. Clean & engaging articles - no plagiarism, falsified facts, idea theft, clout-farming, click-baiting and should not be derogatory in any form.
3. Keep track of trending topics and break them on time.
4. Develop a knowledge base for trends, news, fresh content from creators, athletes, influencers etc.
5. Review content for factual accuracy and general accuracy of grammar and context.
6. Ensuring that content is written as per Sportskeeda's guidelines with respect to language, spellings, grammar, scope of text and other such matters.
7. Able to work under deadlines and deliver work quickly and efficiently.
8. Provide any other content-related assistance that may be required for any other articles
9. Creating tracking mechanisms and repositories of content sources - tracking podcasts, social handles, etc. to scout good content for features
10. Working with the Content Manager, Assistant Content Manager(s) and Specialists in identifying trending content, Article execution and updating/fixing erroneous content. 
11. Help in transcription and identification of angles for writers from sources such as Podcasts, Videos and more.
12. Submit Sportskeeda's original articles to Wikipedia and other sources for citation purposes 
13. Creating and populating Static/tag pages for search engines","
                    Content Writing
            ",https://internshala.com/job/detail/fresher-remote-junior-golf-writer-job-at-sportskeeda1706185163
Online English Faculty,"
                        PlanetSpark                    ","
                                Starts Immediately
                            ","
                                    ₹ 3,00,000                                ",1-5 years,"
    Key responsibilities:

1. Conduct demo classes as per the PlanetSpark content and methodology
2. Ensure an amazing demo experience for the child and parent
3. Conduct regular classes (post enrolment) using an in-house curriculum
4. Ensure timely feedback to the child
5. Adhere to the schedule for the demo as well as regular classes

What are the behavioral attributes that we are looking for?

1. Excellent teaching skills
2. Excellent attention to detail, and strong communication skills - both written and verbal
3. Ability to build strong relationships with the child/learner and make the class fun-based learning
4. Tech-savvy

Eligibility criteria:

1. Excellent verbal and written communication
2. Willing to work 6 days a week (should be available on Saturdays & Sundays)
3. Willing to invest 3-4 teaching hours every day
4. At least 1 year of English teaching experience
5. Should have good Wi-Fi and a laptop with a webcam

Benefits:

1. Flexible working hours
2. Work from home
3. Exposure to teaching international students","
                    British English
                    English Proficiency (Spoken)
                    English Proficiency (Written)
            ",https://internshala.com/job/detail/part-time-online-english-faculty-job-in-delhi-at-planetspark1706514499
Virtual English Teacher,"
                        PlanetSpark                    ","
                                Starts Immediately
                            ","
                                    ₹ 3,00,000                                ",1-3 years,"
    Key responsibilities:

1. Conduct demo classes as per the PlanetSpark content and methodology
2. Ensure an amazing demo experience for the child and parent
3. Conduct regular classes (post enrolment) using an in-house curriculum
4. Ensure timely feedback to the child
5. Adhere to the schedule for the demo as well as regular classes

What are the behavioral attributes that we are looking for?

1. Excellent teaching skills
2. Excellent attention to detail, and strong communication skills - both written and verbal
3. Ability to build strong relationships with the child/learner and make the class fun-based learning
4. Tech-savvy

Eligibility criteria:

1. Excellent verbal and written communication
2. Willing to work 6 days a week (should be available on Saturdays & Sundays)
3. Willing to invest 3-4 teaching hours every day
4. At least 1 year of English teaching experience
5. Should have good Wi-Fi and a laptop with a webcam

Benefits:

1. Flexible working hours
2. Work from home
3. Exposure to teaching international students","
                    American English
                    English Proficiency (Spoken)
            ",https://internshala.com/job/detail/part-time-virtual-english-teacher-job-in-multiple-locations-at-planetspark1706521136
Customer Experience,"
                        EaseMyTrip                    ","
                                Starts Immediately
                            ","
                                    ₹ 2,52,000 - 3,36,000                                ",0-2 years,"
    The selected candidates will be assisting EMT customers and users over phone (inbound & outbound) to complete their flight bookings. 

Key responsibilities: 

1. Provide best-in-class customer service and problem resolution to customer queries over the voice-based phone service
2. Support customers across Telecommunication/E-mail/Chat to meet customer requirements through first contact resolution
3. Clarify customer requirements; probe for and confirm understanding of requirements or problems
4. Greet customers in a courteous, friendly, and professional manner using agreed upon procedures
5. Listen attentively to customer needs and concerns; demonstrate empathy
6. Confirm customer understanding of the solution and provide additional customer education as needed
7. Prepare complete and accurate work and update customer files

While candidates from all degrees are eligible to apply, the salary for graduates will be INR 21k/month + incentives and for post-graduates the salary would be INR 25k/month + incentives.","
                    Effective Communication
                    English Proficiency (Spoken)
                    Hindi Proficiency (Spoken)
            ",https://internshala.com/job/detail/fresher-customer-experience-job-in-delhi-at-easemytrip1706699003
Holiday Sales Executive,"
                        EaseMyTrip                    ","
                                Starts Immediately
                            ","
                                    ₹ 3,00,000 - 4,00,000                                ",0-2 years,"
    We are looking for candidates who have an understanding of various destinations and tour sales packages & can sell the same to our customers.

Key responsibilities:

1. Understanding the client's holiday package requirement
2. Design customized itineraries and holiday packages
3. Follow up with leads (on calls, emails, phone) and convert them into sales

Additional information:

1. Candidates will be required to work 6 days a week (Mon-Sat)
2. On an alternate basis, Saturdays will be half-day (in-office) and the next Saturday will be a full day (work-from-home)","
                    Effective Communication
                    English Proficiency (Spoken)
                    Hindi Proficiency (Spoken)
                    Holiday Package Design
                    Travel Itinerary Making
            ",https://internshala.com/job/detail/fresher-holiday-sales-executive-job-in-multiple-locations-at-easemytrip1706699227
Customer Support Advisor,"
                        ClearTax                    ","
                                Starts Immediately
                            ","
                                    ₹ 3,00,000 - 5,00,000                                ",1-5 years,"
    Key responsibilities include overseeing the relationships of the company with its most important clients. The ideal candidate will be apt to build strong relationships with strategic customers. Also, candidates will be able to identify needs and requirements to promote our company's solutions and achieve mutual satisfaction.

Requirements:

1. Good knowledge of Direct and indirect tax
2. Basic Knowledge of excel and Google sheet
3. Good communication skills in English and Hindi additional regional language added advantage.
4. Excellent problem-solving and communication skills
5. Ability to provide step-by-step technical help,
6. The agent should solve the problem on the first call if the issue cannot be solved at your level, then a ticket can be raised.
7. Any graduation (B, Com, MBA, M, Com preferably )","
                    Client Relationship
            ",https://internshala.com/job/detail/customer-support-advisor-job-in-bangalore-at-cleartax1706610388
English Teacher,"
                        PlanetSpark                    ","
                                Starts Immediately
                            ","
                                    ₹ 3,00,000                                ",1-5 years,"
    Key responsibilities:

1. Conduct demo classes as per the PlanetSpark content and methodology
2. Ensure an amazing demo experience for the child and parent
3. Conduct regular classes (post enrolment) using an in-house curriculum
4. Ensure timely feedback to the child
5. Adhere to the schedule for the demo as well as regular classes

What are the behavioral attributes that we are looking for?

1. Excellent teaching skills
2. Excellent attention to detail, and strong communication skills - both written and verbal
3. Ability to build strong relationships with the child/learner and make the class fun-based learning
4. Tech-savvy

Eligibility criteria:

1. Excellent verbal and written communication
2. Willing to work 6 days a week (Should be available on Saturdays & Sundays)
3. Willing to invest 3-4 teaching hours every day
4. At least 1 year of English teaching experience
5. Should have good Wi-Fi and a laptop with a webcam

Benefits:

1. Flexible working hours
2. Work from home
3. Exposure to teaching international students","
                    American English
                    English Proficiency (Spoken)
            ",https://internshala.com/job/detail/remote-part-time-english-teacher-job-at-planetspark1706681529
Online English Teacher - Work From Home,"
                        PlanetSpark                    ","
                                Starts Immediately
                            ","
                                    ₹ 3,00,000                                ",1-2 years,"
    Key responsibilities:

1. Conduct demo classes as per the PlanetSpark content and methodology
2. Ensure an amazing demo experience for the child and parent
3. Conduct regular classes (post enrolment) using an in-house curriculum
4. Ensure timely feedback to the child
5. Adhere to the schedule for the demo as well as regular classes

What are the behavioral attributes that we are looking for?

1. Excellent teaching skills
2. Excellent attention to detail, and strong communication skills - both written and verbal
3. Ability to build strong relationships with the child/learner and make the class fun-based learning
4. Tech-savvy

Eligibility criteria:

1. Excellent verbal and written communication
2. Willing to work 6 days a week (Should be available on Saturdays & Sundays)
3. Willing to invest 3-4 teaching hours every day
4. At least 1 year of English teaching experience
5. Should have good Wi-Fi and a laptop with a webcam

Note: We do not impose any hiring charges.","
                    American English
                    English Proficiency (Spoken)
            ",https://internshala.com/job/detail/part-time-online-english-teacher-work-from-home-job-in-multiple-locations-at-planetspark1706764722
Executive - Music Tracking (Contractual),"
                        Saregama India Limited                    ","
                                Starts Immediately
                            ","
                                    ₹ 2,00,000 - 2,16,000                                ",1-2 years,"
    Key responsibilities: 

1. Work on coding and development of the infringement trackers, reporting tools, and database/server maintenance

Requirements:

1. Should have knowledge of PHP, JavaScript, HTML, CSS, RDBMS, and SQL
2. Good communication skills
3. Should have an interest in music; enthusiastic and keen to learn Excel, PowerPoint, Word, CSV
4. Should be a team player

Note: This is a one-year contractual role (renewable).","
                    HTML&CSS
                    JavaScript
                    PHP
                    SQL
            ",https://internshala.com/job/detail/executive-music-tracking-contractual-job-in-kolkata-at-saregama-india-limited1707196429
Olympic Sports Writer – US,"
                        Sportskeeda                    ","
                                Starts Immediately
                            ","
                                    ₹ 3,00,000                                ",1-2 years,"
    Key responsibilities: 

1. Produce high-quality Olympic sports content on the website, which provides a good reading experience to fans and leads to an increase in traffic
2. Be informed of all popular sporting events worldwide and find ways to break news quickly on the website
3. Find ways to grow the Olympic coverage on the Sportskeeda website
4. Regularly update the existing content on the Sportskeeda website and pitch unique story ideas on athletes
5. Work towards building Olympic-centric processes to upscale Sportskeeda's brand in the US","
                    Content Writing
                    Report Writing
            ",https://internshala.com/job/detail/remote-olympic-sports-writer--us-job-at-sportskeeda1707199376
Online English Tutor - WFH,"
                        PlanetSpark                    ","
                                Starts Immediately
                            ","
                                    ₹ 3,00,000                                ",1-4 years,"
    Key responsibilities: 

1. Conduct demo classes as per the PlanetSpark content and methodology
2. Ensure an amazing demo experience for the child and parent
3. Conduct regular classes (post enrolment) using an in-house curriculum
4. Ensure timely feedback to the child
5. Adhere to the schedule for the demo as well as regular classes

Behavioral attributes that we are looking for:

1. Excellent teaching skills
2. Excellent attention to detail, strong communication skills both written and verbal
3. Ability to build strong relationships with the child/ learner and make the class fun-based learning
4. Tech-savvy

Eligibility criteria:

1. Excellent verbal and written communication
2. Willing to work 6 days a week (should be available on Saturdays & Sundays)
3. Willing to invest 3-4 teaching hours every day
4. At least 1 year of English teaching experience (Freshers from BA English and MA English are eligible)
5. Should have good Wi-Fi and a laptop with a webcam

Benefits:

1. Flexible working hours
2. Work from home
3. Exposure to teaching international students

Shifts you can opt for:

1. 3 pm to 10 pm IST (India kids)
2. 6 pm to 11 pm IST (India kids)
3. 6 pm to 11 pm IST (Europe/UAE kids)
4. 10 pm to 2 am IST (US/Canada Kids)
5. 4 am to 8 am IST (US/Canada Kids)","
                    English Proficiency (Spoken)
                    English Proficiency (Written)
            ",https://internshala.com/job/detail/online-english-tutor-wfh-job-in-delhi-at-planetspark1707394008
IT Executive,"
                        Saregama India Limited                    ","
                                Starts Immediately
                            ","
                                    ₹ 2,00,000 - 2,16,000                                ",1-2 years,"
    Key responsibilities: 

1. Manage the day-to-day releases of songs, ensuring they go live on various OTT platforms
2. Convert relevant data and metadata from song releases into Excel format for organization and analysis

Who can apply:

1. Should be proficient in Excel","
                    Advanced Excel
            ",https://internshala.com/job/detail/it-executive-job-in-mumbai-at-saregama-india-limited1707387341
Growth Analyst,"
                        Sportskeeda                    ","
                                Starts Immediately
                            ","
                                    ₹ 5,00,000 - 10,00,000                                ",0-1 years,"
    Key responsibilities: 

1. Own and grow designated KPIs across content business verticals by working cross-functionally with Content, Social, Product, and SEO teams.

2. Identify growth opportunities in the content business space and work with Business Heads to get them executed

3. Conduct several, data lead analyses to quantify the performance of content segments, evaluate potential strategy changes, and/or design new approaches and methodologies.

4. Develop a deep understanding of available data and how it can be used for different analyses to answer questions and solve problems

5. Responsible for defining, tracking, and improving key metrics and communicating business trends to stakeholders

6. Advice on the implementation of strategy, using research information to inform and drive business decisions both short and longer-term","
                    Advanced Excel
                    Data Analytics
                    Google Analytics
                    MS-Excel
                    Search Engine Optimization (SEO)
            ",https://internshala.com/job/detail/fresher-remote-growth-analyst-job-at-sportskeeda1707454533
Online English Teacher,"
                        PlanetSpark                    ","
                                Starts Immediately
                            ","
                                    ₹ 3,00,000                                ",1-5 years,"
    Key responsibilities:

1. Conduct demo classes as per the PlanetSpark content and methodology
2. Ensure an amazing demo experience for the child and parent
3. Conduct regular classes (post enrolment) using an in-house curriculum
4. Ensure timely feedback to the child
5. Adhere to the schedule for the demo as well as regular classes

Behavioral attributes that we are looking for:

1. Excellent teaching skills
2. Excellent attention to detail, strong communication skills both written and verbal
3. Ability to build strong relationships with the child/ learner and make the class fun-based learning
4. Tech-savvy

Eligibility criteria:

1. Excellent verbal and written communication
2. Willing to work 6 days a week (Should be available on Saturdays & Sundays)
3. Willing to invest 3-4 teaching hours every day
4. At least 1 year of English teaching experience
5. Should have good Wi-Fi and a laptop with a webcam

Benefits:

1. Flexible working hours
2. Work from home
3. Exposure to teaching international students

Shifts you can opt for:

1. 3 pm to 10 pm IST (India kids)
2. 6 pm to 11 pm IST (India kids)
3. 6 pm to 11 pm IST (Europe/UAE kids)
4. 10 pm to 2 am IST (US/Canada Kids)
5. 4 am to 8 am IST (US/Canada Kids)","
                    American English
                    Content Writing
            ",https://internshala.com/job/detail/remote-part-time-online-english-teacher-job-at-planetspark1707737356
Analyst - Ad-operations,"
                        Media.net                    ","
                                Starts Immediately
                            ","
                                    ₹ 2,50,000 - 3,00,000                                ",0-1 years,"
    The job would involve working with data and using that to make reports to maximize revenue.

Key responsibilities:

1. Work closely with internal teams to setup new publishers on the Media.net platform
2. Manage day-to-day deliverables with respect to ad operation across web publishers
3. Implement, monitor performance, and proactively surface opportunities for revenue growth
4. Run periodic reports to analyze performance and provide insights to internal stakeholders
5. Provide operational support to internal teams to resolve any issues and develop a plan for the prevention of the same issues
6. Liaise between the business and the products team
7. Work on effective data management for smooth tracking of business activities
8. Work along with the products team to develop internal tools for the smooth functioning of the business

Skills & Requirements:

1. Graduation is mandatory
2. Good written and oral communication skills
3. Good logical reasoning
4. MS Excel skill - basic knowledge","
                    Advanced Excel
                    Digital Marketing
                    English Proficiency (Spoken)
                    English Proficiency (Written)
                    Operations
            ",https://internshala.com/job/detail/fresher-analyst-ad-operations-job-in-mumbai-at-medianet1707796925
Digital Marketing Executive,"
                        Saregama India Limited                    ","
                                Starts Immediately
                            ","
                                    ₹ 2,00,000 - 2,16,000                                ",0-1 years,"
    Key responsibilities: 

1. Checking for releases happening in the devotional and Bengali, Punjab & Bhojpuri market and understanding trends of the song releases in these languages.
2. Coordinating for the new releases in YouTube channels.
3. Coordinating with creative and content teams for regular work.
4. Understanding YouTube Analytics.
5. Making release calendars and coordinating.
6. Uploading shorts on Instagram, Moj, YouTube, etc.
7. Working on content monetization on the Facebook/Instagram platform, including planning and implementation
8. Analyzing data points and understanding how to put the results into practice in terms of strategy
9. Ideating and understanding what works on Facebook/Instagram and generating content accordingly

Who can apply:

1. Basic knowledge of content and current trends
2. Basic video editing skills in Adobe Premiere Pro
3. Basic content writing skills","
                    Adobe Premiere Pro
                    Digital Marketing
                    Facebook Marketing
                    MS-Excel
                    Social Media Marketing
                    YouTube Ads
            ",https://internshala.com/job/detail/fresher-digital-marketing-executive-job-in-mumbai-at-saregama-india-limited1707808751
Customer Service Associate,"
                        Paisabazaar                    ","
                                Starts Immediately
                            ","
                                    ₹ 2,67,000 - 3,00,000                                ",0-3 years,"
    Key responsibilities: 

1. Responding to customer inquiries via phone, email, and chat.
2. Providing exceptional support and resolving issues.
3. Maintaining a positive customer experience.

In addition to the fixed CTC mentioned, candidates can also earn performance based incentives up to INR 15,000 per month.","
                    English Proficiency (Spoken)
                    Hindi Proficiency (Spoken)
                    MS-Office
            ",https://internshala.com/job/detail/customer-service-associate-job-in-gurgaon-at-paisabazaar-marketing-and-consulting-private-limited1707816099
English Tutor - WFH,"
                        PlanetSpark                    ","
                                Starts Immediately
                            ","
                                    ₹ 3,00,000                                ",1-3 years,"
    Key responsibilities: 

1. Conduct demo classes as per the PlanetSpark content and methodology
2. Ensure amazing demo experience for the child and parent
3. Conduct regular classes (post enrolment) using in-house curriculum
4. Ensure timely feedback to the child
5. Adhere to the schedule for the demo as well as regular classes

Behavioral attributes:

1. Excellent teaching skills
2. Excellent attention to detail and strong communication skills, both written and verbal
3. Ability to build strong relationships with the child/ learner and make the class fun-based learning
4. Tech-savvy

Eligibility criteria:

1. Excellent verbal and written communication
2. Willing to work 6 days a week (Should be available on Saturdays & Sundays)
3. Willing to invest 3-4 teaching hours every day
4. At least 1 year of English teaching experience (Freshers from BA English and MA English are eligible)
5. Should have good Wi-Fi and a laptop with a webcam

Benefits:

1. Flexible working hours
2. Work from home
3. Exposure to teaching international students

Shifts you can opt for:

1. 3 pm to 10 pm IST (India kids)
2. 6 pm to 11 pm IST (India kids)
3. 6 pm to 11 pm IST(Europe/UAE kids)
4. 10 pm to 2 am IST(US/Canada Kids)
5. 4 am to 8 am IST(US/Canada Kids)","
                    English Proficiency (Spoken)
            ",https://internshala.com/job/detail/part-time-english-tutor-wfh-job-in-bangalore-at-planetspark1707819766
Senior UI/UX Designer,"
                        FileSure India Private Limited                    ","
                                Starts Immediately
                            ","
                                    ₹ 5,00,000 - 6,00,000                                ",2-5 years,"
    Position Overview:

As a UI/UX Designer with illustration and animation expertise at our company, you will play a pivotal role in designing and shaping the user interfaces for websites and mobile applications, while also creating captivating illustrations and animations from scratch. We are looking for individuals with 2-5 years of experience who possess a keen eye for detail, a strong foundation in UX and UI design principles, and proficiency in creating illustrations and animations. The ideal candidate will thrive in a collaborative environment, be proactive in exploring new design trends and technologies, and demonstrate a commitment to delivering high-quality work that exceeds client expectations.

Key responsibilities:

1. Collaborate with cross-functional teams to understand project requirements and user needs.
2. Conceptualize, design, and develop visually appealing and user-friendly interfaces for websites and mobile apps.
3. Create custom illustrations and animations from scratch to enhance user engagement and storytelling.
4. Produce wireframes, mockups, and prototypes to communicate design concepts and iterate based on feedback.
5. Conduct user research and usability testing to gather insights and validate design decisions.
6. Ensure designs are consistent with brand guidelines and maintain a cohesive visual identity across platforms.
7. Stay up-to-date with industry trends and best practices in UX/UI design, illustration, and animation to continuously improve the quality of deliverables.
8. Effectively communicate design concepts and rationale to clients and team members","
                    Adobe Creative Suite
                    Figma
                    UI & UX Design
            ",https://internshala.com/job/detail/senior-ui-ux-designer-job-in-bangalore-at-filesure-india-private-limited1707899734
